10,24,25
0,10,23
5,8,10
6,7,23
7,10,37
8,10,12
10,23,25
8,9,23
7,8,21
27,30,40
5,7,28
3,7,19
7,8,29
0,7,22
0,7,19
8,9,14
4,7,10
8,9,32
7,9,19
0,8,27
4,7,8
10,16,36
10,21,25
5,21,25
6,7,13
9,23,35
2,9,41
7,9,10
6,27,32
7,8,11
5,7,11
7,8,31
14,21,27
4,8,9
8,10,22
4,5,25
8,23,35
7,10,14
0,4,10
7,10,27
7,10,15
0,9,10
4,21,25
8,9,38
8,9,11
6,7,33
10,19,39
7,10,19
5,7,29
0,9,27
7,14,28
10,20,24
9,17,23
5,7,19
0,7,16
5,11,27
7,19,23
8,9,17
8,9,27
8,14,38
8,9,41
0,7,37
0,8,10
0,9,11
6,7,8
9,10,19
4,8,10
7,16,36
7,8,20
6,8,10
7,10,38
0,10,22
7,11,27
6,10,31
5,10,28
8,9,35
9,21,26
7,10,31
6,25,27
7,11,23
6,7,16
6,8,9
0,10,16
8,10,13
2,8,41
7,8,27
7,19,39
7,8,14
5,10,13
8,10,17
0,9,26
10,19,36
9,17,25
0,9,12
7,10,36
7,10,39
8,14,32
5,6,19
8,10,24
6,10,29
6,10,19
4,5,21
5,8,9
0,10,12
5,6,7
9,26,27
0,5,10
9,14,34
9,14,32
0,7,10
21,25,27
8,11,13
7,10,11
0,5,19
6,7,29
8,20,21
0,10,19
6,9,12
8,10,30
7,8,34
5,8,30
5,7,27
7,8,12
8,21,26
7,8,13
9,14,38
5,7,13
8,9,25
8,10,27
10,11,23
8,26,27
7,15,29
7,10,21
9,10,23
0,8,11
8,14,34
7,10,22
7,10,28
0,8,9
7,19,27
6,10,16
9,10,17
6,7,38
7,20,21
0,8,26
8,17,25
6,7,31
8,9,12
1,27,30
0,8,12
4,5,7
8,9,34
7,10,20
6,8,12
0,10,37
7,10,33
7,10,23
14,21,25
6,9,11
0,7,8
7,10,24
10,11,13
1,30,40
7,20,24
10,14,28
10,15,29
5,10,29
5,10,19
0,6,10
5,7,10
0,5,6
6,10,33
5,19,28
7,8,37
0,4,7
7,10,29
7,8,22
7,8,16
8,10,11
7,10,16
8,9,10
5,9,10
9,10,27
0,19,28
6,7,27
10,17,23
1,27,40
7,21,25
6,10,13
25,27,32
2,8,9
5,6,10
8,9,21
9,10,29
4,5,10
7,10,25
7,8,24
0,5,28
7,23,25
6,10,38
5,10,30
6,8,11
3,10,19
7,24,25
7,8,18
7,19,36
7,8,10
3,7,10
6,25,32
7,10,13
